2 28900.00000 57800.00000
3 20834.66667 31252.00000
4 10928433.68750 14571244.91667
5 8751046.16000 10938807.70000
6 7508789.13889 9010546.96667
7 10218947.83673 11922105.80952
8 9236780.25000 10556320.28571
9 8224028.88889 9252032.50000
10 7877174.16000 8752415.73333
11 7451676.92562 8196844.61818
12 6832259.97222 7453374.51515
13 6747593.82249 7309893.30769
14 7394673.26531 7963494.28571
15 7111178.64889 7619119.98095
16 7459568.87109 7956873.46250
17 8341140.67820 8862461.97059
18 9062722.64506 9595823.97712
19 8934642.78670 9431011.83041
20 8808283.06000 9271876.90526
21 8710164.33107 9145672.54762
22 8457960.08471 8860720.08874
23 8091727.60681 8459533.40711
24 8272947.65972 8632641.03623
25 9199331.68000 9582637.16667
26 8850689.69379 9204717.28154
27 8764133.58299 9101215.64387
28 8518101.27551 8833586.50794
29 8536064.30202 8840923.74138
30 8297373.16556 8583489.48161
31 8040993.00312 8309026.10323
32 7789723.65527 8041005.06351
33 7808012.59137 8052012.98485
34 7792545.01125 8028682.73886
35 7575991.36816 7798814.64370
36 7518513.58333 7733328.25714
37 8140019.93718 8366131.60210
38 7961899.77008 8177086.25036
39 7984339.61473 8194453.81511
40 8435582.59437 8651879.58397
41 8516713.51814 8729631.35610
42 8477956.18141 8684735.60046
43 8323817.29475 8522003.42082
44 8399345.26653 8594678.87738
45 8234171.40444 8421311.66364
46 8252239.34594 8435622.44251
47 8250096.75781 8429446.68733
48 8101073.28082 8273436.54211
49 8317069.29696 8490341.57398
50 8283502.77760 8452553.85469
